Date,Actual_price,Forecasted_Price
1999-09-17 00:00:00,1.81,2.12
1999-09-20 00:00:00,2.05,2.16
1999-09-21 00:00:00,1.99,2.17
1999-09-22 00:00:00,1.97,2.18
1999-09-23 00:00:00,1.93,2.2
1999-09-24 00:00:00,1.88,2.22
1999-09-27 00:00:00,1.87,2.26
1999-09-28 00:00:00,2.04,2.28
1999-09-29 00:00:00,2.05,2.29
1999-09-30 00:00:00,2.23,2.31
1999-10-01 00:00:00,2.12,2.33
1999-10-04 00:00:00,2.21,2.38
1999-10-05 00:00:00,2.27,2.4
1999-10-06 00:00:00,2.58,2.41
1999-10-07 00:00:00,2.45,2.44
1999-10-08 00:00:00,2.72,2.46
1999-10-11 00:00:00,2.67,2.52
1999-10-12 00:00:00,2.64,2.54
1999-10-13 00:00:00,2.5,2.56
1999-10-14 00:00:00,2.42,2.59
1999-10-15 00:00:00,2.39,2.61
1999-10-18 00:00:00,2.36,2.68
1999-10-19 00:00:00,2.42,2.71
1999-10-20 00:00:00,2.34,2.73
1999-10-21 00:00:00,2.29,2.76
1999-10-22 00:00:00,2.28,2.78
1999-10-25 00:00:00,2.51,2.85
1999-10-26 00:00:00,2.54,2.87
1999-10-27 00:00:00,2.4,2.89
1999-10-28 00:00:00,2.3,2.92
1999-10-29 00:00:00,2.36,2.94
1999-11-01 00:00:00,2.31,3.01
1999-11-02 00:00:00,2.27,3.03
1999-11-03 00:00:00,2.35,3.05
1999-11-04 00:00:00,2.36,3.07
1999-11-05 00:00:00,2.43,3.09
1999-11-08 00:00:00,2.53,3.15
1999-11-09 00:00:00,2.64,3.17
1999-11-10 00:00:00,2.8,3.19
1999-11-11 00:00:00,2.81,3.22
1999-11-12 00:00:00,2.8,3.24
1999-11-15 00:00:00,2.96,3.27
1999-11-16 00:00:00,2.88,3.28
1999-11-17 00:00:00,3.2,3.28
1999-11-18 00:00:00,3.28,3.3
1999-11-19 00:00:00,3.57,3.31
1999-11-22 00:00:00,3.6,3.35
1999-11-23 00:00:00,3.49,3.36
1999-11-24 00:00:00,3.31,3.37
1999-11-26 00:00:00,3.43,3.41
1999-11-29 00:00:00,3.41,3.45
1999-11-30 00:00:00,3.22,3.46
1999-12-01 00:00:00,3.3,3.48
1999-12-02 00:00:00,3.41,3.5
1999-12-03 00:00:00,3.53,3.51
1999-12-06 00:00:00,3.94,3.55
1999-12-07 00:00:00,4.53,3.56
1999-12-08 00:00:00,4.16,3.57
1999-12-09 00:00:00,4.16,3.59
1999-12-10 00:00:00,4.22,3.6
1999-12-13 00:00:00,4.12,3.63
1999-12-14 00:00:00,3.93,3.64
1999-12-15 00:00:00,3.76,3.65
1999-12-16 00:00:00,3.91,3.67
1999-12-17 00:00:00,4.06,3.68
1999-12-20 00:00:00,4.44,3.71
1999-12-21 00:00:00,4.94,3.72
1999-12-22 00:00:00,5.42,3.73
1999-12-23 00:00:00,5.27,3.75
1999-12-27 00:00:00,4.7,3.8
1999-12-28 00:00:00,4.93,3.82
1999-12-29 00:00:00,5.3,3.83
1999-12-30 00:00:00,5.11,3.86
1999-12-31 00:00:00,5.16,3.87
2000-01-03 00:00:00,5.77,3.91
2000-01-04 00:00:00,5.81,3.93
2000-01-05 00:00:00,5.77,3.94
2000-01-06 00:00:00,5.16,3.97
2000-01-07 00:00:00,5.52,3.98
2000-01-10 00:00:00,5.59,4.02
2000-01-11 00:00:00,5.27,4.03
2000-01-12 00:00:00,5.17,4.04
2000-01-13 00:00:00,4.97,4.06
2000-01-14 00:00:00,4.66,4.07
2000-01-18 00:00:00,4.82,4.1
2000-01-19 00:00:00,4.75,4.11
2000-01-20 00:00:00,4.62,4.13
2000-01-21 00:00:00,4.74,4.13
2000-01-24 00:00:00,4.97,4.16
2000-01-25 00:00:00,4.89,4.17
2000-01-26 00:00:00,5.06,4.17
2000-01-27 00:00:00,5.45,4.19
2000-01-28 00:00:00,5.28,4.2
2000-01-31 00:00:00,5.08,4.24
2000-02-01 00:00:00,5.02,4.26
2000-02-02 00:00:00,5.24,4.27
2000-02-03 00:00:00,5.47,4.3
2000-02-04 00:00:00,5.94,4.31
2000-02-07 00:00:00,6.4,4.37
2000-02-08 00:00:00,6.41,4.39
2000-02-09 00:00:00,6.97,4.4
2000-02-10 00:00:00,8.26,4.43
2000-02-11 00:00:00,10.47,4.45
2000-02-14 00:00:00,8.48,4.5
2000-02-15 00:00:00,7.72,4.51
2000-02-16 00:00:00,9.06,4.52
2000-02-17 00:00:00,9.32,4.55
2000-02-18 00:00:00,9.16,4.56
2000-02-22 00:00:00,8.81,4.59
2000-02-23 00:00:00,8.88,4.59
2000-02-24 00:00:00,8.66,4.6
2000-02-25 00:00:00,8.53,4.6
2000-02-28 00:00:00,8.38,4.6
2000-02-29 00:00:00,8.45,4.6
2000-03-01 00:00:00,8.84,4.6
2000-03-02 00:00:00,9.45,4.61
2000-03-03 00:00:00,10.27,4.61
2000-03-06 00:00:00,10.78,4.61
2000-03-07 00:00:00,10.47,4.61
2000-03-08 00:00:00,10.62,4.61
2000-03-09 00:00:00,10.62,4.63
2000-03-10 00:00:00,10.31,4.63
2000-03-13 00:00:00,9.28,4.65
2000-03-14 00:00:00,8.85,4.66
2000-03-15 00:00:00,8.41,4.67
2000-03-16 00:00:00,8.03,4.69
2000-03-17 00:00:00,9.12,4.7
2000-03-20 00:00:00,9.33,4.74
2000-03-21 00:00:00,8.91,4.75
2000-03-22 00:00:00,9.28,4.76
2000-03-23 00:00:00,8.59,4.78
2000-03-24 00:00:00,8.34,4.79
2000-03-27 00:00:00,8.02,4.82
2000-03-28 00:00:00,8.47,4.82
2000-03-29 00:00:00,7.81,4.82
2000-03-30 00:00:00,6.97,4.84
2000-03-31 00:00:00,6.03,4.84
2000-04-03 00:00:00,5.02,4.84
2000-04-04 00:00:00,5.26,4.84
2000-04-05 00:00:00,6.16,4.83
2000-04-06 00:00:00,7.75,4.84
2000-04-07 00:00:00,8.65,4.83
2000-04-10 00:00:00,7.57,4.82
2000-04-11 00:00:00,7.14,4.81
2000-04-12 00:00:00,6.72,4.8
2000-04-13 00:00:00,6.59,4.81
2000-04-14 00:00:00,5.4,4.8
2000-04-17 00:00:00,5.48,4.79
2000-04-18 00:00:00,6.1,4.79
2000-04-19 00:00:00,5.69,4.79
2000-04-20 00:00:00,5.72,4.8
2000-04-24 00:00:00,5.12,4.82
2000-04-25 00:00:00,5.75,4.82
2000-04-26 00:00:00,5.84,4.82
2000-04-27 00:00:00,6.2,4.84
2000-04-28 00:00:00,6.34,4.85
2000-05-01 00:00:00,6.53,4.88
2000-05-02 00:00:00,5.97,4.89
2000-05-03 00:00:00,5.72,4.89
2000-05-04 00:00:00,6.16,4.91
2000-05-05 00:00:00,6.3,4.92
2000-05-08 00:00:00,5.93,4.94
